target_id pval qval test_stat rss degrees_free mean_obs var_obs tech_var sigma_sq smooth_sigma_sq final_sigma_sq
ENSMUST00000036070.15 3.71227018362334e-05 0.806236933542541 20.4025637323173 6.13874214095174 2 6.44322349026801 0.767342767618967 0.00456396623545968 0.762778801383507 0.0944520386720745 0.762778801383507
ENSMUST00000190785.7 4.66693834356482e-05 0.806236933542541 19.9448444184788 74.9160576965955 2 3.3284274541039 9.36450721207443 0.565223775788728 8.79928343628571 1.75722957628644 8.79928343628571
ENSMUST00000239217.2 8.68887143596073e-05 0.972176301044355 18.7017648068124 9.67673743685619 2 5.535138068059 1.20959217960702 0.0108869862704435 1.19870519333658 0.183305706992698 1.19870519333658
ENSMUST00000117634.2 0.000112549715035091 0.972176301044355 18.1842310450217 10.9002557274503 2 6.63587458528965 1.36253196593129 0.0038985352007308 1.35863343073056 0.0853501984773382 1.35863343073056
ENSMUST00000102544.9 0.000188012004814552 1 17.1580094835529 62.4615170024465 2 2.98485789386504 7.80768962530582 0.703985329745872 7.10370429555995 2.08978409049958 7.10370429555995
ENSMUST00000032454.8 0.000292630308237889 1 16.2732009844961 1.6193443620683 2 7.96347771675774 0.202418045258538 0.000184282652600281 0.202233762605938 0.0573228411545125 0.202233762605938
ENSMUST00000247868.1 0.000292630308237889 1 16.2732009844961 1.6193443620683 2 7.96347771675774 0.202418045258538 0.000184282652600281 0.202233762605938 0.0573228411545125 0.202233762605938
ENSMUST00000216821.2 0.0003015118624324 1 16.2134023957065 60.7156777618133 2 2.95744475051472 7.58945972022666 0.942470515373259 6.6469892048534 2.11416934442208 6.6469892048534
ENSMUST00000104955.4 0.00039277877105638 1 15.6845280562332 1.59230260262183 2 6.93478080389034 0.199037825327729 0.00105733934753966 0.197980485980189 0.0747069662974508 0.197980485980189
ENSMUST00000039562.8 0.000405821254325937 1 15.619195511173 2.6032045994423 2 6.6378219212495 0.325400574930288 0.00587383280045471 0.319526742129833 0.0852686832905247 0.319526742129833
ENSMUST00000042121.11 0.000406716732111749 1 15.614787209465 45.8451114690854 2 2.48234602252344 5.73063893363568 0.0727943482133558 5.65784458542232 2.43908702749892 5.65784458542232
ENSMUST00000066149.9 0.00041991029198577 1 15.5509389200213 46.8883967396911 2 2.45657824148396 5.86104959246139 0.0447323097065638 5.81631728275483 2.45120172660119 5.81631728275483
ENSMUST00000049060.8 0.000440890630452053 1 15.4534274335709 64.2176818733326 2 3.00487798768186 8.02721023416657 1.29396264404811 6.73324759011846 2.07169439813009 6.73324759011846
ENSMUST00000118869.8 0.000445267004987394 1 15.4336728890503 4.96042421347738 2 6.03537218180716 0.620053026684673 0.0106979219825165 0.609355104702156 0.123224800079598 0.609355104702156
ENSMUST00000112635.8 0.000453870007746141 1 15.3953994549451 55.547367498897 2 2.76800714144885 6.94342093736213 0.697579385861494 6.24584155150063 2.26783672440491 6.24584155150063
ENSMUST00000065323.14 0.000567936860340826 1 14.9470006135876 45.3716159449607 2 2.69539512026084 5.67145199312009 0.334969895779215 5.33648209734088 2.31831528183573 5.33648209734088
ENSMUST00000124310.5 0.00063307233267022 1 14.7298517454543 5.26491997322152 2 6.98219729436642 0.658114996652691 0.00238686018187208 0.655728136470818 0.0733003219028907 0.655728136470818
ENSMUST00000095947.11 0.000817879238692558 1 14.2175917244402 66.4813542016908 2 3.08071241259065 8.31016927521135 1.91151828398531 6.39865099122604 2.00126379337181 6.39865099122604
ENSMUST00000236216.2 0.000897254053799827 1 14.0323430198393 1.85492080710435 2 6.42637204195095 0.231865100888044 0.00178981447911905 0.230075286408925 0.0953577835090833 0.230075286408925
ENSMUST00000000285.9 0.000919740218238662 1 13.9828385985505 51.0222563150616 2 3.37028307725594 6.3777820393827 0.732820287495713 5.64496175188698 1.71494735550977 5.64496175188698
ENSMUST00000099678.5 0.000931982792878389 1 13.9563924120519 2.85773079188984 2 6.04555171368013 0.35721634898623 0.00239139708909234 0.354824951897138 0.122303159580143 0.354824951897138
ENSMUST00000052827.6 0.000932483896373185 1 13.9553173518006 38.490861456863 2 2.22314660556864 4.81135768210788 0.0170677447165777 4.7942899373913 2.53343430358438 4.7942899373913
ENSMUST00000122116.8 0.000935776163284006 1 13.9482685037525 41.989920305344 2 2.6644773648063 5.248740038168 0.227034164639141 5.02170587352886 2.33812811214934 5.02170587352886
ENSMUST00000231322.2 0.000970358909485591 1 13.8756890902492 60.4425559027889 2 2.90564030187757 7.55531948784861 1.67047571163223 5.88484377621638 2.15892611003343 5.88484377621638
ENSMUST00000234131.2 0.000973647337646685 1 13.8689227924506 1.85002389859084 2 7.37735797240445 0.231252987323855 0.000751986629251309 0.230501000694603 0.0640802246172569 0.230501000694603
ENSMUST00000237208.2 0.00106741670313285 1 13.6850276915162 49.9994983536848 2 2.46005564091956 6.2499372942106 0.325205669210721 5.92473162499988 2.44960008989922 5.92473162499988
ENSMUST00000064664.10 0.00118441540499159 1 13.4770119104858 1.940777114563 2 6.05912826795235 0.242597139320375 0.00342607065687114 0.239171068663504 0.121087763493771 0.239171068663504
ENSMUST00000002180.8 0.00120665113069242 1 13.4398128340245 41.8330040713544 2 2.52594461054401 5.2291255089193 0.0781088269578445 5.15101668196146 2.41731457911326 5.15101668196146
ENSMUST00000219033.2 0.00121536989085342 1 13.4254136232095 6.10963594753362 2 6.11368504292276 0.763704493441702 0.150302371174881 0.613402122266821 0.116405756839769 0.613402122266821
ENSMUST00000228160.2 0.00123793653130063 1 13.3886187463157 57.6501869629437 2 2.56675736180761 7.20627337036796 0.307771357862697 6.89850201250527 2.39552616004426 6.89850201250527
ENSMUST00000167240.8 0.0012553110955317 1 13.3607437044619 58.0093030474023 2 2.79877350167684 7.25116288092528 1.54676323416894 5.70439964675635 2.24489842246442 5.70439964675635
ENSMUST00000122817.8 0.00129755311726743 1 13.2945500111969 56.1971585543657 2 3.77080364989466 7.02464481929571 0.592181934215555 6.43246288508016 1.24621312915496 6.43246288508016
ENSMUST00000106142.8 0.0013134501647584 1 13.2701957807181 59.3337945488801 2 3.73680608874438 7.41672431861002 0.274802953239352 7.14192136537067 1.28888359871351 7.14192136537067
ENSMUST00000050226.7 0.00146951552178068 1 13.0456450190678 4.44602158768644 2 6.08101844995099 0.555752698460805 0.00449974608565312 0.551252952375152 0.119166544703131 0.551252952375152
ENSMUST00000118812.2 0.00149668730429463 1 13.0090021538603 55.8238760181367 2 2.70064640734608 6.97798450226709 1.37107942759496 5.60690507467213 2.31484683352343 5.60690507467213
ENSMUST00000166168.8 0.00157915176069109 1 12.9017348728529 54.6251133321865 2 2.68194546259615 6.82813916652331 1.37381749967361 5.4543216668497 2.32706313879212 5.4543216668497
ENSMUST00000159162.2 0.00164224431465247 1 12.8233829762468 4.39937163233226 2 5.58063883060802 0.549921454041533 0.0476473294209496 0.502274124620583 0.176308541686603 0.502274124620583
ENSMUST00000143031.8 0.00168312879424815 1 12.7742016802263 25.6227688351016 2 3.7311158270068 3.2028461043877 0.171244333039502 3.0316017713482 1.29604939827275 3.0316017713482
ENSMUST00000134176.8 0.00169578893843818 1 12.7592143920643 49.0420836228893 2 2.58848178642577 6.13026045286116 1.27257877839726 4.8576816744639 2.38339075182078 4.8576816744639
ENSMUST00000222747.2 0.00174676645599122 1 12.6999778793131 48.0710425085232 2 3.75357536681264 6.00888031356541 1.4844199565012 4.52446035706421 1.26780048564048 4.52446035706421
ENSMUST00000123916.8 0.0017477679098355 1 12.6988315705156 53.0452661679132 2 3.52813897425964 6.63065827098915 0.366782204858955 6.26387606613019 1.54662759982788 6.26387606613019
ENSMUST00000096355.4 0.00175077721679528 1 12.695390931515 51.435812361205 2 1.76276349473749 6.42947654515062 0.0296244030460114 6.39985214210461 2.53222606234761 6.39985214210461
ENSMUST00000180716.8 0.00177481322017921 1 12.6681201793193 51.4256369853326 2 2.51581836310773 6.42820462316658 1.09403582387287 5.33416879929371 2.42251197324541 5.33416879929371
ENSMUST00000128980.8 0.001844754801213 1 12.5908178187861 40.3573318281777 2 2.64787413834746 5.04466647852221 0.592776814737364 4.45188966378484 2.34838017977027 4.45188966378484
ENSMUST00000013851.4 0.00187542157196992 1 12.5578436128963 35.3202519871816 2 2.04636163571417 4.4150314983977 0.0293077183120506 4.38572378008565 2.55968636432014 4.38572378008565
ENSMUST00000020801.14 0.00188190537625141 1 12.5509410347531 15.2622523962383 2 4.1038605389442 1.90778154952979 0.0673604462993941 1.84042110323039 0.870765598467748 1.84042110323039
ENSMUST00000149022.8 0.00189119352427698 1 12.5410943097856 55.997988975173 2 3.62964843181816 6.99974862189663 1.81864151345113 5.18110710844549 1.42363106315671 5.18110710844549
ENSMUST00000153290.8 0.00192216425359575 1 12.5086070247166 2.87051803028066 2 7.45199815009151 0.358814753785082 0.00402506624079423 0.354789687544288 0.0627965204163947 0.354789687544288
ENSMUST00000027421.13 0.00199160950000147 1 12.4376243463455 40.2050923450563 2 5.43344039688473 5.02563654313204 0.882197056031325 4.14343948710072 0.200449119404166 4.14343948710072
ENSMUST00000076352.8 0.00212134772024733 1 12.3114073503659 3.83225736758444 2 7.508118861662 0.479032170948054 0.000975508290301567 0.478056662657753 0.0619180881645165 0.478056662657753
ENSMUST00000114134.9 0.00223470741508791 1 12.2072899399227 2.68885942919258 2 6.25518944101616 0.336107428649072 0.020625850726765 0.315481577922307 0.105782198814009 0.315481577922307
ENSMUST00000206630.2 0.00227965992244279 1 12.1674580079282 46.6821330581129 2 2.43106411679085 5.83526663226411 0.992125611239323 4.84314102102479 2.46263143874471 4.84314102102479
ENSMUST00000034214.8 0.00232219477928148 1 12.1304850299034 2.7251182451918 2 6.6929642566945 0.340639780648974 0.00349735556615899 0.337142425082815 0.0830361329596926 0.337142425082815
ENSMUST00000110849.10 0.00235212685221124 1 12.1048706332737 53.5965183818822 2 3.40054400156426 6.69956479773528 2.36960152144489 4.32996327629039 1.68434339876335 4.32996327629039
ENSMUST00000113542.9 0.00237700254946781 1 12.0838300360955 46.5862287819513 2 3.10187626455146 5.82327859774391 0.627433320863243 5.19584527688067 1.98113285556191 5.19584527688067
ENSMUST00000028063.7 0.00248389667192023 1 11.9958534264635 41.3753508487094 2 3.09377074184521 5.17191885608868 0.462357321989919 4.70956153409876 1.98886482091229 4.70956153409876
