target_id	pval	qval	b	se_b	mean_obs	var_obs	tech_var	sigma_sq	smooth_sigma_sq	final_sigma_sq
ENSMUST00000124310.5	4.72516169138278e-13	1.80713808886934e-08	1.51142534799556	0.208963079929889	6.77579441626402	0.703988495821573	0.0029153697150748	0.0204177816005713	0.0625829834456027	0.0625829834456027
ENSMUST00000036070.15	1.55015359783582e-08	0.000296428121746155	-1.62784677611204	0.287813002516358	6.75419479023021	0.894369127250483	0.00540803066934996	0.118846455956872	0.0631338375258644	0.118846455956872
ENSMUST00000039562.8	3.64722096809359e-08	0.000464959886415798	1.22796546357031	0.22297721554167	6.61701993769837	0.479566333090042	0.00762001320103774	0.0263757107659699	0.0669582447750367	0.0669582447750367
ENSMUST00000234131.2	1.43826605949835e-07	0.00137516213613786	-0.979353400088583	0.186178514383487	7.39048212546385	0.310765342036464	0.000792051557574231	0.0279897201386067	0.0512016072694893	0.0512016072694893
ENSMUST00000209664.2	2.35104028407424e-07	0.00147964735427351	0.977090949352279	0.189021865187317	7.39442639304195	0.302166745977871	0.00244158550310409	0.0172518257294336	0.0511523127752346	0.0511523127752346
ENSMUST00000119686.2	2.38136625281102e-07	0.00147964735427351	1.91111130216076	0.369883008786255	5.33039240885204	1.2598800510005	0.0252736291969196	0.179946531086239	0.158223118802	0.179946531086239
ENSMUST00000239217.2	2.70820538107324e-07	0.00147964735427351	-1.92586009372438	0.374484372204063	5.95940048226996	1.28096738421011	0.00708240969994032	0.203275407837667	0.0979146230550774	0.203275407837667
ENSMUST00000118869.8	5.77725984872423e-07	0.00269431193995057	1.43610957628952	0.287307069987103	5.81153746924294	0.717777637490627	0.0144790332522605	0.1093389954446	0.108750092867519	0.1093389954446
ENSMUST00000032454.8	7.04487368270512e-07	0.00269431193995057	-0.873289862175952	0.176062155892853	8.10385000690115	0.261265542027016	0.000151977586312605	0.0404417561802221	0.0463448465201461	0.0463448465201461
ENSMUST00000247868.1	7.04487368270512e-07	0.00269431193995057	-0.873289862175952	0.176062155892853	8.10385000690115	0.261265542027016	0.000151977586312605	0.0404417561802221	0.0463448465201461	0.0463448465201461
